;Location;;;;;;;;;;;;;;;;
0,002125589;-129,75;-116,750132;-19,69952496;51,3652642;14,67384686;235,69;109,0934604;-80,96;-95,68113759;-210,24;-177,8690295;-176,1254112;-6,018144751;;;;
0,002147278;-145,54;-131,6572651;-19,05465132;75,1103719;43,23607138;262,45;111,8555358;-109,66;-119,8373477;-215,97;-168,3210945;-183,4361693;-9,36265442;;;;
0,002168968;-159,76;-139,2891778;-20,6266404;91,36866119;79,37625298;286,50;110,6487031;-126,90;-136,8958264;-213,81;-157,0709267;-185,0885921;-10,74519084;;;;
0,002190658;-170,82;-143,5299805;-22,40225747;104,4158321;119,3248273;304,29;104,2586383;-135,16;-135,6805032;-207,93;-150,2557423;-182,1427342;-15,40544015;;;;
0,002212347;-173,58;-146,5383511;-22,56408347;113,150914;153,1154506;312,94;110,3529845;-127,70;-126,3990861;-200,56;-148,3128711;-167,5529882;-23,93320655;;;;
0,002234037;-171,14;-144,5770313;-18,27961877;116,5087944;182,6895552;315,77;126,2544117;-107,79;-101,030725;-192,27;-143,6026774;-154,8460158;-38,6702467;;;;
0,002255727;-157,01;-138,4681452;-11,47234174;116,449241;204,4453983;304,64;159,8607563;-83,11;-75,64820102;-184,34;-138,0344515;-144,9034772;-58,06107358;;;;
0,002277416;-141,84;-120,4628038;-4,65657877;114,5151551;215,6429331;292,46;195,657879;-59,55;-50,3882649;-176,50;-134,0947787;-144,9962224;-86,1209801;;;;
0,002299106;-125,76;-102,4479637;-1,197405408;113,2811366;216,3754389;279,52;233,8693286;-41,97;-34,57861127;-165,29;-133,6166161;-149,2425573;-115,254122;;;;
0,002320796;-103,25;-84,91282755;-1,16366389;112,9456877;214,0257865;272,91;259,374298;-27,59;-20,98930407;-152,65;-134,7011229;-159,9810881;-143,0581318;;;;
0,002342485;-84,28;-79,21904709;6,73846552;118,0781706;213,536988;269,18;276,5454678;-19,59;-11,16962705;-137,90;-136,7769266;-165,5199601;-159,1933924;;;;
0,002364175;-69,93;-80,02640847;13,45442956;123,6740283;216,3041846;269,27;278,9475185;-12,48;-4,977995479;-114,75;-141,6459101;-169,0135794;-165,9199734;;;;
0,002385865;-63,95;-92,25412904;16,57615908;128,5178826;210,9915293;268,35;264,4361563;-6,82;-2,866968844;-92,45;-148,6989674;-173,7453132;-164,4973097;;;;
0,002407554;-61,50;-108,1890513;18,24407065;133,5632172;201,7059677;266,92;243,5366335;-12,16;-8,989195991;-78,68;-152,4334999;-181,4978144;-153,9276029;;;;
0,002429244;-64,71;-124,5734508;21,9422372;138,176953;187,3869134;264,53;220,5002844;-18,34;-16,33344922;-86,51;-153,0619003;-191,6821662;-139,6384927;;;;
0,002450934;-70,24;-133,5314931;36,16800464;140,2211983;175,1125229;259,50;209,9613333;-24,64;-24,32564383;-106,20;-152,3202582;-201,6249994;-119,6328957;;;;
0,002472623;-76,07;-136,180113;60,13818712;139,539074;165,2139221;254,23;208,3179453;-27,60;-24,36023629;-138,02;-151,551202;-213,2620691;-97,72518803;;;;
0,002494313;-76,55;-133,707737;89,6556266;136,6856294;171,6315954;255,76;222,8053791;-27,13;-22,54414998;-164,87;-148,6337603;-227,7236295;-75,93026267;;;;
0,002516003;-75,18;-119,871719;109,6119633;135,331256;181,1231705;257,11;234,6120413;-20,05;-18,91041924;-187,22;-136,0669388;-238,1339467;-56,8203396;;;;
0,002537693;-72,28;-103,5277269;122,0924278;135,0812609;193,9755348;258,35;243,4029449;-13,00;-15,18243625;-195,85;-116,2550682;-245,0596202;-38,53781651;;;;
0,002559382;-65,08;-84,15998453;126,3123513;136,3325054;204,6399844;256,32;240,1216538;-7,11;-11,01957774;-196,63;-90,54662293;-244,1789838;-20,12872341;;;;
0,002581072;-57,33;-65,19877176;109,3313961;136,6001849;214,1694077;247,43;230,6088435;-6,08;-4,401239464;-186,06;-78,78655677;-226,7670496;-0,997890653;;;;
0,002602762;-48,90;-49,49477531;83,91464663;134,1613319;221,1548391;228,11;211,3233014;-4,36;4,649877709;-175,93;-77,9833993;-200,6540361;21,86947479;;;;
0,002624451;-48,72;-41,81977091;45,42115316;123,6177975;220,9328556;204,12;177,3011933;-1,20;15,32743284;-166,57;-94,5202456;-167,9555245;49,21938852;;;;
0,002646141;-51,31;-34,97118599;6,636172878;110,2139816;217,2491871;178,46;137,966475;4,42;22,86452142;-159,21;-108,9004563;-140,6577872;76,1348404;;;;
0,002667831;-56,84;-29,98669392;-29,42975155;96,17634154;211,6738236;150,67;94,53048853;10,37;26,06034304;-153,37;-119,1725299;-118,0799491;101,4570705;;;;
0,00268952;-58,40;-34,34318904;-51,80709698;91,78042239;203,4060613;127,02;53,16599738;15,74;27,30189724;-147,37;-112,9697368;-99,12321852;123,5158974;;;;
0,00271121;-57,06;-48,03560529;-62,30075747;87,21445916;193,0264424;105,57;13,94916791;18,52;26,67426711;-134,56;-96,78778779;-83,17278663;139,4310951;;;;
0,0027329;-45,64;-68,82784534;-65,03292461;82,45804215;170,3082095;86,81;-13,27705338;17,75;21,9949171;-124,71;-76,17811073;-72,43845774;151,2566631;;;;
0,002754589;-41,53;-95,63600008;-75,50953609;72,32000948;142,9047347;70,17;-33,85138835;6,49;11,76414618;-117,43;-59,37784474;-65,87206313;155,0545543;;;;
0,002776279;-44,77;-121,6644961;-91,297507;57,84697556;110,4824711;55,70;-48,1047594;-6,94;-3,34300543;-119,63;-38,91037362;-59,98125803;163,5005174;;;;
0,002797969;-54,90;-146,5340215;-113,454687;35,58586823;74,10897545;40,48;-57,56861073;-21,84;-20,04345047;-118,65;-14,75088693;-53,13262658;176,0775675;;;;
0,002819658;-63,61;-161,0687113;-138,019454;15,70069726;40,70420614;22,82;-67,03050004;-32,31;-38,83901566;-112,55;15,37896441;-38,65248507;193,2316869;;;;
0,002841348;-68,48;-171,5812411;-158,3329955;-4,056827147;13,69779331;0,79;-78,72094175;-43,45;-58,46905351;-94,56;40,89756727;-18,06733572;207,1377022;;;;
0,002863038;-73,46;-176,2339344;-167,7771618;-27,71729231;-11,09796806;-26,73;-89,99323024;-55,35;-78,67874518;-75,99;57,68735773;12,09143083;214,5561182;;;;
0,002884727;-77,76;-178,6260367;-172,7114028;-52,11946764;-34,73172763;-56,58;-101,6126306;-66,49;-93,56994253;-61,96;62,50419806;42,4690456;213,9178657;;;;
0,002906417;-78,87;-179,3159942;-175,8200286;-77,17571431;-52,70875176;-89,59;-111,5886145;-79,79;-109,430176;-52,48;65,50923813;73,61804509;212,60234;;;;
0,002928107;-81,03;-175,3030446;-177,8328188;-101,1171555;-71,34686698;-121,47;-123,021664;-96,97;-124,4753087;-43,93;72,03688922;89,19851956;216,2048573;;;;
0,002949796;-84,50;-169,7137363;-176,1752203;-122,3449702;-90,45608328;-152,41;-135,512468;-113,80;-136,3316244;-28,98;85,45255199;98,92323357;232,6866423;;;;
0,002971486;-102,98;-162,9316098;-171,7695125;-139,5496836;-116,4288462;-178,29;-149,8422043;-127,86;-143,7139418;-18,79;102,9264912;98,15633211;257,1772742;;;;
0,002993176;-118,48;-153,9994829;-168,5718237;-151,2501601;-139,8234668;-200,40;-162,4790287;-133,19;-142,6828633;-12,29;125,8858852;94,51636065;288,8637741;;;;
0,003014865;-130,15;-143,2229634;-166,2172962;-159,3504369;-159,7690849;-218,49;-172,6627925;-127,23;-121,8461353;-8,76;144,9544814;90,51247377;315,5013307;;;;
0,003036555;-119,61;-130,1761947;-164,9700743;-160,3062049;-164,299065;-232,53;-168,7960986;-113,19;-94,33630297;-8,12;160,503181;91,11391268;336,2700255;;;;
0,003058245;-105,10;-118,3211098;-157,3042108;-155,3816232;-161,2106486;-246,16;-157,407341;-89,25;-64,70735703;-11,23;163,3055082;86,94182662;350,9363066;;;;
0,003079935;-88,75;-105,9354386;-145,7804553;-146,4664696;-145,2630399;-259,75;-130,2999668;-65,79;-47,15388834;-13,66;158,5024904;78,64021454;365,5177968;;;;
0,003101624;-71,68;-91,96547668;-127,0293902;-125,9009195;-127,9076769;-269,04;-108,0905458;-43,32;-37,60846493;-16,32;143,8115553;63,19654169;382,2588322;;;;
0,003123314;-53,52;-73,72132964;-105,9616551;-96,76290292;-111,9506677;-275,46;-91,26901544;-35,71;-44,69967402;-19,77;151,3630731;49,86925598;392,6958243;;;;
0,003145004;-30,46;-53,11217316;-84,09050161;-59,23337655;-106,9834355;-275,06;-100,1389143;-33,77;-48,91109328;-20,98;168,6126758;40,15949183;399,5300714;;;;
0,003166693;-6,35;-28,28068309;-63,67362393;-13,12101202;-103,1896295;-272,17;-114,4916925;-35,30;-50,49883934;-20,09;201,5097533;54,60617895;400,7613358;;;;
0,003188383;18,48;0,267404876;-39,36135567;29,65494553;-98,45614343;-267,61;-134,2281735;-33,82;-42,62297396;-12,41;228,3854449;80,3633986;397,1500554;;;;
0,003210073;36,15;31,37686425;-11,83658919;64,88670402;-81,54476841;-264,41;-122,8107392;-28,98;-31,39752342;-6,38;249,7329561;125,419705;389,9461001;;;;
0,003231762;51,94;63,19904155;20,45146376;86,46358817;-63,33073089;-257,81;-105,0148524;-17,03;-15,56384997;-1,55;252,1585721;166,1654581;370,3662275;;;;
0,003253452;65,47;89,44645627;54,04636797;100,7369607;-44,36733326;-247,28;-81,04070164;-7,42;-5,372977434;2,09;239,9762635;203,2131767;344,4147523;;;;
0,003275142;79,20;110,3654289;89,54997971;101,9553025;-29,64420646;-217,40;-70,46419701;0,45;1,040152428;5,37;218,0986603;223,7778441;309,2000827;;;;
0,003296831;94,83;121,9897172;122,0483836;106,0961816;-14,48340759;-183,89;-66,35910334;0,98;0,260463795;8,25;185,7635333;237,6740367;272,3359095;;;;
0,003318521;116,08;128,9587547;150,1088359;112,4481697;4,12004443;-147,95;-79,85513954;-2,31;-8,566513723;7,44;154,8555222;245,6028182;238,1885237;;;;
0,003340211;134,57;127,7252532;166,3518513;120,7420156;22,66037659;-126,10;-91,11711778;-10,11;-22,38896236;5,29;125,8778493;241,9595186;215,4853365;;;;
0,0033619;150,39;129,6199221;174,9190386;133,0359716;39,59994856;-109,98;-99,50535249;-28,03;-44,72151316;1,24;113,2516327;237,0568685;199,456691;;;;
0,00338359;153,26;135,9523403;179,2572745;150,595449;43,36835576;-96,13;-95,8098074;-44,21;-62,05070582;-8,08;104,6000252;230,574924;187,6432389;;;;
0,00340528;151,43;158,7622849;179,5820874;177,8440407;45,90168881;-78,31;-85,90298196;-53,98;-75,15489423;-19,31;100,1491377;220,1181258;178,766405;;;;
