;Depth Location;;;;;;;;;;;;
Distance on line [m];1,6;1,4;1,2;1;0,8;0,6;0,4;0,2;0;-0,2;-0,4;-0,6;-0,8
0,002913911;70,3727604;-195,919667;-195,919667;-287,7868837;-147,6183547;-183,0112264;19,22226237;6,106761041;67,98435558;150,723906;157,5726101;68,6232625;-81,41080768
0,002935821;72,22520579;-186,8231423;-186,8231423;-269,297581;-122,2029467;-163,533443;14,4249732;-2,437999658;60,75158956;145,8621976;165,9988593;77,26797901;-81,94428712
0,00295773;73,04400526;-176,0199818;-176,0199818;-251,8644261;-97,56160199;-142,5830658;15,83580824;-4,801673411;58,66550159;134,6668587;171,5196138;85,77586634;-87,69333091
0,002979639;69,70550356;-169,3169231;-169,3169231;-235,285431;-78,60731563;-116,0286395;21,04285136;0,603500992;61,81103976;115,6825177;172,9914148;90,94022412;-95,26765188
0,003001548;62,03416289;-160,9028848;-160,9028848;-220,8696599;-62,93240066;-91,13524052;31,00196859;11,95111785;59,88043203;97,59107648;168,8681535;95,16069615;-104,4857815
0,003023457;50,92920024;-150,1378915;-150,1378915;-205,6287425;-48,79581671;-66,43937669;43,92547586;19,41209518;55,93504052;81,14042172;161,4028863;98,3211853;-110,9333533
0,003045366;30,57926949;-134,6915966;-134,6915966;-189,6392936;-37,86196181;-42,9431931;59,23784374;14,18810626;53,65163793;78,96192343;149,120348;96,09861356;-114,8556302
0,003067275;7,945514572;-118,1470179;-118,1470179;-172,0078223;-28,27141203;-20,1975197;74,08574845;8,683485165;55,73173315;83,4514308;136,6937276;93,10795715;-115,2530279
0,003089184;-16,70816372;-101,3568258;-101,3568258;-155,8385378;-20,62720712;2,590848053;88,1769683;3,064709776;63,11106177;97,2458608;124,1343338;90,16578191;-115,5717313
0,003111093;-36,09162732;-86,25330356;-86,25330356;-142,6144343;-15,76394294;21,12503003;101,0756917;-2,436635465;69,76655942;104,9051903;113,0899939;91,45150579;-116,3002459
0,003133003;-52,99922032;-72,4351219;-72,4351219;-126,8369567;-15,68432704;37,13983601;105,5391703;-12,89893116;73,71010599;106,1944721;102,9343274;94,1847007;-117,7991184
0,003154912;-66,21603069;-60,85922424;-60,85922424;-110,3526516;-21,49971419;53,13994585;105,9496277;-27,88206096;76,50657799;92,95573706;93,05779802;95,75401639;-116,6652579
0,003176821;-78,69161742;-52,79428824;-52,79428824;-95,78909996;-23,51265638;69,10443776;98,53125881;-43,23986066;83,98154601;75,13292929;81,12733761;93,53048667;-115,3686313
0,00319873;-90,62758876;-47,47537595;-47,47537595;-87,2951335;-25,55121934;84,92859629;85,38991105;-58,47211357;90,69415601;55,04637776;68,51596748;88,3164211;-118,6630305
0,003220639;-100,6026265;-55,16608649;-55,16608649;-83,09145819;-18,87603077;91,86223244;68,26498439;-73,36356252;100,5667979;31,74891637;51,6444838;80,01447271;-122,7326953
0,003242548;-109,5441568;-65,57606311;-65,57606311;-85,25000847;-10,90768198;95,5231876;48,33460291;-100,5261379;110,6188073;8,200192968;35,73410646;72,97114854;-126,915326
